Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Release Years,Poster,Description
Salut D'Amour (TV series),Love Greeting,Jung Yoo-kyung,Yoon Seok-ho,"Bae Yong-joon, Sung Hyun-ah, Kwon Oh-joong","Comedy, Drama, Romance",Korean Broadcasting System,25,"November 1, 1994 –
April 25, 1995","1994, 1995",-,"The theme ofSalut D'Amour, unlike later versions, are not interconnected to one another by episode. Each episode contains a separate but closely related theme."
Men Are Men,"To All the Guys Who Loved Me, Mister, All the Same",Lee Eun-young,"Choi Yoon-suk, Lee Ho","Hwang Jung-eum, Yoon Hyun-min, Seo Ji-hoon, Jo Woo-ri, Choi Myung-gil","Drama, Comedy, Romance, Fantasy",KBS2,32,"July 6 –
September 1, 2020",2020,-,"The leader of a webtoon planning team, Seo Hyun-ju harbors the jaded view that all men are same and has decided to remain single. Hwang Ji-woo is the CEO of Sunwoo Pharmaceutical Company. He has a cold and distant personality but excellent instinct in business. He takes an interest in Seo Hyun-ju and starts pursuing her. Park Do-gyeom is a popular webtoon writer. He is a well mannered and sociable person. He and Seo Hyun-ju grew up like siblings, but he has held a crush on Seo Hyun-ju for a long time."
Feel Good to Die,-,Im Seo-ra,Lee Eun-jin,"Kang Ji-hwan, Baek Jin-hee, Gong Myung","Comedy, Romance, Office, Supernatural",KBS2,32,"November 7 –
December 27, 2018",2018,-,"The story of ""evil boss"" Baek Jin-sang and assistant manager Lee Roo-da, who tries to transform him into a better person. Both of them are stuck in a time loop and they are trying to find the problem that is causing this."
My Kids Give Me a Headache,-,Kim Soo-hyun,Jung Eul-young,"Lee Soon-jae, Kim Hae-sook, Yoo Dong-geun, Uhm Ji-won",Family drama,jTBC,40,"27 October 2012 –
17 March 2013","2012, 2013",-,"""My Kids Give Me a Headache"" is a television series that delves into the multigenerational dynamics of a family, spanning parents, three sons, three daughters-in-law, and their children."
Light on Me,-,Lee Ji-eum,Lee Yoo-yeon,"Lee Sae-on, Kang You-seok, Choe Chan-yi, Go Woo-jin","Teen romance, Coming-of-age","KokTV
WATCHA
Viki
WeTV
AbemaTV",16,"June 29 –
August 19, 2021",2021,-,"Woo Tae-kyung is an 18-year-old Korean average boy who has no friends. One day, his teacher approaches him in order to help him. He suggests Tae-kyung join the school's student council. The task is not easy, since one of the members is Noh Shin-woo, who resents him for a previous encounter. The president of the council, though, is very receptive, and tries to make Tae-kyung and Shin-woo get along. The council is also formed by Namgoong Shi-won, an extroverted humorous guy who also makes an effort so Tae-kyung properly joins them. Tae-kyung, with his new set of friends, proceeds to enjoy his new social life, and starts questioning if he may or may not like one of his fellow council members."
Love All Play (TV series),"493km for You, Going to You at a Speed of 493km",Heo Sung-hye,Jo Woong,"Park Ju-hyun, Chae Jong-hyeop, Park Ji-hyun, Kim Mu-jun, Seo Ji-hye","Drama, Romance, Sports drama",KBS2,16,"April 20 –
June 9, 2022",2022,-,The series is a sports romance drama about the passion and affectionate love between the male and female mixed-doubles protagonists within their group of badminton team members.
Now in Pyongyang,-,-,-,"Kim Byung-ki, Choi Seon-ja, Heo Jin, Kim Seong-gyeom, Sa Mi-ja, Shin Jong-seop, Kim Man-man, Baek Il-seob",Politics,KBS1,199,"November 30, 1982 –
May 14, 1985","1982, 1985",-,"Now in Pyongyang (Korean: 지금 평양에선) is a South Korean TV series depicting the top political echelons of North Korea in 1980s, with Kim Jong Il as the protagonist. As part of South Korea's anti-North Korean propaganda at the time, the drama shows Kim's vicious side and his tyranny over women, but it also tries to show that Kim has a human side. It aired on KBS1 from 30 November 1982 to 14 May 1985, with a total of 199 episodes. The drama was a huge success at the time, and the actor Kim Byung-ki, who played Kim Jong Il, shot to fame."
The King's Doctor,"Horse Doctor, The Horse Healer",Kim Yi-young,"Lee Byung-hoon, Choi Jung-gyu","Cho Seung-woo, Lee Yo-won","Historical, Medical drama",Munhwa Broadcasting Corporation,50,"October 1, 2012 –
March 25, 2013","2012, 2013",-,"The life of aJoseon-era low-class veterinarian specializing in the treatment of horses, who rises to become the royal physician in charge of the King's health."
Line Romance,Love Line,"Kim Mi-sook, Jang Seon-ah","Choi Jong-soo, Jang Soo-bong","Lee Min-ho, Kuo Bea-ting",Miniseries,iQiyi,3,"9 May –
16 May 2014",2014,-,Min-ho (Lee Min-ho) is a musician who met Ling Ling (Bea Hayden) on his walk and got inspired to write a new song. He then made a silly mistake by sending her a text message saying he loved her.
Master's Sun,"The Master's Sun, The Sun of My Master, The Sun of the Lord, Mr. Joo's Miss Tae",Hong sisters,Jin Hyuk,"So Ji-sub, Gong Hyo-jin","Romantic comedy, Fantasy, Mystery",SBS TV,17,"August 7 –
October 3, 2013",2013,-,"Joo Joong-won (So Ji-sub) is the cold and distantCEOof Kingdom, aconglomeratethat includes a major department store and hotel. He meets the gloomy Tae Gong-shil (Gong Hyo-jin), who started seeing ghosts after an accident. Their lives take a new turn as they discover whenever Gong-shil touches Joong-won the ghosts that surround her disappear; after much pleading from Gong-shil to allow her to stay by Joong-won's side in return she must help him recover a fortune that was stolen from him during a kidnapping attempt."
Connect (TV series),-,-,Takashi Miike,"Jung Hae-in, Go Kyung-pyo, Kim Hye-jun","Horror, Mystery, Psychological thriller, Science fantasy",Disney+,6,"December 7, 2022",2022,-,"A new human being type, Connect, whose body repairs itself, is kidnapped by an organ trafficking organization. Part way through the organ harvesting surgery, he suddenly wakes up on an operating table and manages to escape, but he is missing one of his eyes. Then he finds out that he can ""see"" through his missing eye, which has now been transplanted into a serial killer who is turning his victims into corpse art. Determined to get back what was, Ha Dong-soo (Jung Hae-in) pursues the killer to make himself whole again."
Sunok,-,Hwang Soon-young,Shin Hyun-soo,"Choi Ja-hye, Hwang Dong-ju, Kang Do-han, Park Hye-yeong, Choi Eun-ju","Family, Drama",KBS1,150,"November 5, 2006 –
April 28, 2007","2006, 2007",-,"A baby girl who was abandoned at birth grows up to become a woman facing a cruel destiny. Park Sun-ok was born to parents that are too poor to raise her, so they send her to a rich family, who become Sun-ok's stepparents. They care for her as if she were their real daughter. Later, Sun-ok's real father overthrows Sun-ok's stepfather's business and becomes rich himself, leaving Sun-ok's family to starve. However, Sun-ok's real parents find out the truth and go to Sun-ok to ask for forgiveness. At first, Sun-ok refuses, but later she forgives them. In addition, her stepfather's new business of selling antiques becomes successful."
The Secret House (TV series),-,Won Yeong-ok,Lee Min-soo,"Seo Ha-jun, Lee Young-eun, Kim Jung-heon","Melodrama, Revenge, Romance, Mystery, Crime",MBC TV,124,"April 11 –
October 10, 2022",2022,-,-
East of Eden (South Korean TV series),-,"Na Yeon-sook (Ep.1 - Ep.35, Ep.37 - Ep.56), Lee Hong-ku(Ep. 36)","Kim Jin-man, Choi Byeong-kil","Song Seung-heon, Yeon Jung-hoon, Lee Da-hae, Han Ji-hye, Lee Yeon-hee, Park Hae-jin","Action, Romance",MBC TV,56,"August 25, 2008 –
March 10, 2009","2008, 2009",-,"A period epic that spans the years 1960 to 2000s,East of Edentells a saga of the bitter rivalry between two men who are eternally bound by fate. Historic events are referenced, such as the rapidindustrializationof the 1970s and 1980s, Taebaek coal miners' strikes andstudent-led democracy movements."
Family (2012 TV series),Shut Up Family,"Seo Jae-won, Kim Hwan-chae, Lee Jeong-sun, Kwon So-ra, Kim Ba-da","Jo Joon-hee, Choi Sung-beom","Hwang Shin-hye, Ahn Suk-hwan, Park Ji-yoon, Park Hee-von","Sitcom, Family, Comedy, Romance",KBS2,120,"13 August 2012 –
6 February 2013","2012, 2013",-,"Woo Shin-hye is a divorcee who lives with her vain mother and two beautiful daughters — the older one who cares deeply about her image but is secretly a slob, and the younger who is intelligent and seemingly kind, but has a sly and cruel personality. They are filthy rich thanks to Shin-hye's beauty salon. Yeol Suk-hwan is a widowed and enthusiastic single father who works at a Youth Centre to support his poor family. He lives with his greedy but kind mother-in-law, and three children — two sons, the oldest who is a bread errand boy and is bullied in school, and the youngest who is an innocent but slow child, as well as a smart, strong but homely daughter who others mistake for an older woman."
Lovestruck in the City,"How to Love Between Men and Women in the City, The Way of Love for Men and Women in the City, City Men and Women Love Methods, City Couple's Way of Love: My Lovable Camera Thief","Jung Hyun-jung, Jung Da-yun",Park Shin-woo,"Ji Chang-wook, Kim Ji-won, Kim Min-seok, Han Ji-eun, Ryu Kyung-soo, So Joo-yeon",Romance,KakaoTV,17,"December 22, 2020 –
February 16, 2021","2020, 2021",-,"The series is presented in an interview format, with six individuals discussing their experiences with dating."
Temperature of Love,Degree of Love,Ha Myung-hee,Nam Geon,"Seo Hyun-jin, Yang Se-jong, Kim Jae-wook, Jo Bo-ah","Romance, Melodrama",SBS TV,40,"September 18 –
November 21, 2017",2017,-,"The story of two people who first meet online and soon develop a relationship when they meet in person, but then get separated after choosing different paths for their careers."
Love Andante,-,Kim Yuna,Yoon Ryu-hae,"Kwon Hyun-bin, Song Ji-woo",Romantic comedy,Lifetime,8,"August 7 –
August 29, 2024",2024,-,"Love Andante (Korean: 사랑의 안단테) is a 2024 South Korean television series starring Kwon Hyun-bin and Song Ji-woo. It aired on Lifetime from August 7–29, 2024, every Wednesday and Thursday at 23:00 (KST). It is also available for streaming on TVING in South Korea, on Kocowa in Americas, Europe, and Oceania, and on KNTV in Japan."
Phoenix 2020,Firebird,Lee Yoo-jin,Lee Hyun-jik,"Hong Soo-ah, Lee Jae-woo, Seo Ha-jun, Park Young-rin","Melodrama, Romance",SBS TV,120,"October 26, 2020 –
April 9, 2021","2020, 2021",-,"Wealthychaebol, Lee Ji-eun (Hong Soo-ah) falls in love with the poor Jang Sae-hoon and marries against their families' wishes. Ji-eun was engaged to Sae-hoon's family friend, Seo Jeong-in (Seo Ha-jun), but he was in a committed relationship with another woman. The couple was expecting a child despite the lack of approval from Jeong-in's father. Ji-eun and Sae-hoon eventually divorce, and Jeong-in later dies. After ten years, Ji-eun and Sae-hoon meet again but with swapped lifestyles. Once affluent, Ji-eun lost her fortune while Sae-hoon became a rich entrepreneur. Their changes in wealth allow them to view the world differently and understand each other leading to their reunification."
Here's My Plan,Got a Goal,Ryu Sol-ah,Shim Soo-yeon,"Kim Hwan-hee, Ryu Soo-young, Kim Do-hoon, Lee Young-jin","Family drama, Romance, Revenge",MBC TV,4,"May 19 –
May 27, 2021",2021,-,"The story of a young woman who believes that her whole life has been unfortunate plans the ""Happiness Ruining Project"" to avenge those who made her life unhappy."
My Military Valentine,-,"Kwon Hee-kyung, Park Hyun-jin",Park Kwang-chun,"Nam Gyu-ri, Kim Min-seok, Song Jae-rim",Romance,Viki,12,"June 6 –
July 12, 2024",2024,-,"The series tells the romance between a South Korean world star who hasenlisted in the militarydue to some form of conspiracy, and a North Korean female soldier."
The Third Charm,The 3rd Charm,"Park Eun-young, Park Hee-kwon",Pyo Min-soo,"Seo Kang-joon, Esom",Romantic comedy,JTBC,16,"September 28 –
November 17, 2018",2018,-,The drama follows the realistic romance of a couple with completely opposite personalities who unexpectedly met on a group blind date.
Behind the White Tower,"White Tower, Great White Tower, Inside the White Tower",Lee Ki-won,Ahn Pan-seok,"Kim Myung-min, Lee Sun-kyun",Medical drama,MBC TV,20,"January 6 –
March 11, 2007",2007,-,"Brilliant and ambitious, assistant professor Jang Joon-hyuk (Kim Myung-min) is a rising star in the Myeongin University Hospitalsurgerydepartment. His knowledge and expertise is undeniable, but his cavalier confidence and cold personality has earned him more than a few enemies, including the department head. While Jang's drive stems from a desire for success and advancement, fellow doctor Choi Do-young (Lee Sun-kyun) is committed to the well-being of his patients, leading to frequent clashes with the practices and personnel within the hospital. With the head of the surgery department retiring, Jang seems to be the clear successor until a new rival emerges in the form of Noh Min-guk (Cha In-pyo), who has the backing of the department head. Jang, however, is determined to win at all costs."
The Master of Revenge,-,Chae Seung-dae,Kim Jong-yeon,"Chun Jung-myung, Cho Jae-hyun, Jeong Yu-mi, Lee Sang-yeob, Gong Seung-yeon","Revenge, Melodrama",KBS2,20,"April 27 –
June 30, 2016",2016,-,"A man whose name and life were taken from him seeks revenge. To do so, he must attempt to become a master noodle cook, or a god of noodles."
Sell Your Haunted House,-,"Ha Soo-jin, Jung Yeon-seo, Lee Young-hwa",Park Jin-seok,"Jang Na-ra, Jung Yong-hwa, Kang Hong-seok, Ahn Gil-kang","Comedy, Fantasy, Supernatural",KBS2,16,"April 14 –
June 9, 2021",2021,-,Hong Ji-ah (Jang Na-ra) is a real estate broker and an exorcist. She owns Daebak Real Estate which offers the service to clean out buildings in which ghosts frequent and people have died in. She inherited the ability to exorcise from her deceased mother.
Memorials (TV series),"Into the Ring, Pick Me",Moon Hyun-kyung,Hwang Seung-ki,"Nana, Park Sung-hoon, Yoo Da-in, Han Joon-woo, Ahn Nae-sang","Comedy, Romance, Political",KBS2,16,"July 1 –
August 20, 2020",2020,-,"Koo Se Ra (Nana), who has lived all 29 years of her life in Mawon-gu, is nothing but an underqualified struggler with a poor financial background. On one hand, this over-passionate, self-proclaimed Tax Guardian never lets a single wrongdoing slip through her until it is filed and settled as a civil complaint. However, because of her nosy nature and her tendency to lose temper over unrighteousness, she gets fired from an internship, from a contract position, and even from an outsourced job, to name a few from the list of her former employers. Although not intended, she finds herself gradually turning into a professional resigner and decides that it's time for a change. This time, her passion steers toward the District Assembly, so called the employees' utopia. In fact, now that she has entered the ring, her only option is to run for the office, to get elected, and to stay elected."
Reply (TV series),-,"Lee Woo-jung (season 1–3), Lee Sun-hye (season 1), Kim Ran-joo (season 1)",Shin Won-ho,See below,"Coming-of-age, Comedy, Romance, Family drama",tvN,57 + 3 special,"July 24, 2012 –
January 16, 2016","2012, 2016",-,"Reply (Korean: 응답하라) is a South Korean anthology television series directed by Shin Won-ho with teleplay by Lee Woo-jung that premiered in 2012 on cable network tvN. It revolves around a group of friends, as the timeline moves back and forth between their past and present selves."
Fragile (TV series),-,Park Joo-yi,Ahn Ji-hoon,"Kim So-hee, Kim Eo-jin, Gong Joo-han, Kwon Hee-song, Moon Ji-won, Jeong Yun-seo, Kim Ye-rim, Cha Ji-hyeok, Cha Se-jin, Chae Ha-jin","Teen drama, Coming-of-age",U+ Mobile TV,8,"September 9 –
October 28, 2024",2024,-,"A hyper-realistic high teen drama about teenagers dealing with taboos and errors, such as challenges and failures, love and heartbreak, studying and deviating."
Our Beloved Summer,-,Lee Na-eun,Kim Yoon-jin,"Choi Woo-shik, Kim Da-mi, Kim Sung-cheol, Roh Jeong-eui","Romantic comedy, Coming-of-age",SBS TV,16,"December 6, 2021 –
January 25, 2022","2021, 2022",-,"Acoming-of-ageromantic comedy that revolves around Choi Ung (Choi Woo-shik) and Kook Yeon-soo (Kim Da-mi), ex-lovers who broke up with a promise to never meet again. As luck would have it, the documentary they filmed ten years ago in high school went viral and they are forced to face the cameras together again by their producer friend. The series depicts their complicated feelings and growth."
"That Winter, the Wind Blows",Wind Blows in Winter,Noh Hee-kyung,Kim Kyu-tae,"Zo In-sung, Song Hye-kyo","Romance, Melodrama",Seoul Broadcasting System,16,"February 13 –
April 3, 2013",2013,-,"A melodrama about a man and a blind woman who doesn't believe in love. Oh Soo is an orphan who is left heartbroken after his first love dies. He leads a life as a high-stakes gambler. Oh Young is a lonely visually-impaired heiress whose parents are dead. She has an older estranged brother. She inherited her parents' wealth. Oh Soo pretends to be Oh Young's brother in order to inherit her wealth when she dies. However, the two soon learn the true meaning of love."
Lovers of Haeundae,Lovers in Haeundae,Hwang Eun-kyung,"Song Hyun-wook, Park Jin-seok","Kim Kang-woo, Cho Yeo-jeong, Jung Suk-won, Park Geon-il, Nam Gyu-ri","Romance, Comedy, Action",KBS2,16,"12 August –
24 September 2012",2012,-,"Newly wed public prosecutor, Lee Tae-sung, goes undercover in pursuit of a gangster inHaeundae,Busan,attacked by his quarry and thrown into the sea, he loses his memory of who he was.Homeless and alone in the world he is taken in by the family of a deposed crime boss, who believe him to be his cover, a body builder and performer in a night club revue, who came to Busan after falling in love with Go So-ra, the daughter of the crime boss. Despite misunderstandings and bickering, Lee and Go marry and the two fall in love for real.However, after he recovers his memory, he stands at a crossroad and has to decide which of his wives he will stay with; the one he married out of duty and who can help him in his career, or the one he loves."
Delivery (web series),Space Delivery,-,Bang Jin-hyun,"Cho Mi-yeon, Lee Tae-vin",Action comedy,"YouTube
IPTV",-,"November 12, 2021",2021,-,"Deliverytells the story of Kwak Doo-sik (Cho Mi-yeon), a 20-year-old delivery girl who is well versed in martial arts, and Do Ki-hwan (Lee Tae-vin), the manager of a delivery agency, encounters with a band of aliens attempting to invade earth while searching for Kwak Doo-sik's mother."
My Mind's Flower Rain,Flowers in My Heart,"Han Hee-jung (Episode 1-40), Moon Young-hoon",Eo Soo-sun,"Na Hae-ryung, Lee Chang-wook, Jung Yi-yeon, Ji Eun-sung","Period drama, Romance, Family, Melodrama, Revenge",KBS2,128,"February 29 –
September 6, 2016",2016,-,A story of a bright young girl who lost her family during the Korean War and grew up experiencing the rapid change of Korean society in the 1970s.
Different Dreams,-,Jo Kyu-won,Yoon Sang-ho,"Lee Yo-won, Yoo Ji-tae, Lim Ju-hwan, Nam Gyu-ri","Historical, Melodrama",MBC TV,40,"May 4 –
July 13, 2019",2019,-,"The story takes place inGyeongseong(Seoul, Korea) andShanghai(China) during theJapanese colonial rule of Korea. Lee Young-jin is a Korean surgeon who was raised by a Japanese family. She becomes a spy for the Korean government."
Dae Jo-yeong (TV series),-,Jang Young-chul,"Kim Jong-sun, Yoon Sung-sik","Choi Soo-jong, Lee Deok-hwa, Jeong Bo-seok, Park Ye-jin, Hong Soo-hyun, Im Hyuk, Choi Cheol-ho, Kim Hak-cheol",Historical,KBS 1TV,134,"September 16, 2006 –
December 23, 2007","2006, 2007",-,Go Young Tak Kim Myung Wook
Queen of Mystery 2,-,Lee Sung-min,"Choi Yoon-Suk, Yoo Young-eun","Choi Kang-hee, Kwon Sang-woo","Crime, Mystery, Detective fiction, Comedy",KBS2,16,"February 28 –
April 19, 2018",2018,-,"Housewife-turned-investigator Seol-ok and passionate detective Wan-seung collaborate to solve mysterious cases and cure the hearts of those who were wounded by crimes along the way.Queen of MysterySeason 2 is a drama that digs into the inside details of daily crimes realistically about a murder next door and sexual assault crime that happened in a blind alley last night instead of dealing with a psychopath or notorious serial killer, etc."
A Superior Day,-,Lee Ji-hyun,Jo Nam-hyeong,"Jin Goo, Ha Do-kwon, Lee Won-keun","Drama, Thriller",OCN,8,"March 13 –
May 1, 2022",2022,-,"A Superior Day (Korean: 우월한 하루; RR: Uwolhan haru) is a 2022 South Korean television series directed by Jo Nam-hyeong and starring Jin Goo, Ha Do-kwon, and Lee Won-keun. Based on webtoon by Team Getname, this series depicts 24-hour runaway thriller in which only the most superior survives, in which the most ordinary man must kill the serial killer who lives next door to save his kidnapped daughter. It premiered on OCN on March 13, 2022, and aired every Sunday at 22:30 (KST)."
Oasis (South Korean TV series),-,Jung Hyung-soo,Han Hee,"Jang Dong-yoon, Seol In-ah, Choo Young-woo","Melodrama, Period drama, Romance, Coming-of-age",KBS2,16,"March 6 –
April 25, 2023",2023,-,"Set against the turbulent backdrop of South Korea from the 1980s to the 1990s, the series depicts the story of three young people who fight fiercely to protect their dreams, friendship, and their one and only first love."
Lie After Lie,-,Kim Ji-eun,Kim Jung-kwon,"Lee Yu-ri, Yeon Jung-hoon","Revenge, Mystery, Romance",Channel A,16,"September 4 –
October 24, 2020",2020,-,"Ji Eun-soo is the daughter-in-law of a chaebol family who appears to have everything. Her life falls apart when she is accused of murdering her abusive husband and sentenced to ten years in prison. While in prison, she gives birth to a baby girl, but is forced to place her into adoption. She and her father reach out to Kang Ji-min, a journalist who suspected foul play behind Eun-soo's case and the only one willing to hear Eun-soo's side of the story. However, after a while, her letters to Ji-min are mysteriously returned, while her father is later killed in a hit-and-run accident right before meeting Ji-min. Ji-min is also sent on an overseas assignment just as he gets closer to the truth. A determined Eun-soo tracks down her daughter upon her release and, in doing so, uncovers a complex web of lies and betrayal beginning with her former mother-in-law, CEO and respected businesswoman Kim Ho-ran."
You're Only Mine,"Only My Love, My Only Dear",Ma Joo-hee,Kim Jung-min,"Lee Min-young, Jung Sung-hwan, Song Jae-hee, Han Da-min","Romance, Melodrama, Revenge",Seoul Broadcasting System,168,"January 5 –
September 30, 2014",2014,-,"Eun-jung is the daughter of a widow who once shined shoes for a living. When she becomes involved in a terrible crime committed by her husband Sung-jae and his mother, she loses everything. Against all odds, Eun-jung climbs up the corporate ladder to become a successful shoe designer of a prestigious brand."
